sha	classification	matched_published_sha	match_method	shape	tree_status	parents	introduced_pathblobs	unmatched	novel_paths	reason	subject
7de04f2114351fddfff118ad48f77a177746778a	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on markdown-sanitize: eb190c1 docs: log #195 pre-merge cleanup round
7e53739cf9037ee3f4ba622b71c9ee2e4be1a900	DUPLICATE	aa4df7028239388c9d3755c80eb707882d51a3cb	patch-id --stable exact	ORDINARY	TREE_UNIQUE	1	4	0	0	patch-id identical to published commit aa4df7028239388c9d3755c80eb707882d51a3cb	feat: add collapsible inspector sections with persisted state
85aca30facbead470b1919cf2edbec22a8a9432b	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	2	2	0	2 of 2 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-b4-watchtasks-guard: e608750 feat: add lazy platform store registration to MultiStore (#96)
8630dc466304971ec0a47c3eab02c5550da76618	DUPLICATE	42ced660a4e445c6ce2bcbf7fc93f1a2d8df3ce0	(path,blob) containment; earliest published carrier	STASH_ON	TREE_MATCHES_REFREACHABLE	2	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	On fix-dependency-closed-solo: closed-solo fix
896d7178daf6ed04a353f76032d0ddbdda2632f6	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/collection-export-import: 2915bbb fix: address collection export import review
89d3cbbc599773a91e5b590ee62129036965a2fc	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on auth/stage6-credential-improvements: e32dad9 feat(auth): add encrypted credential storage, OAuth flows, token refresh, and monitoring
8a331d6dfd2ca5173bce88079c8f2ab2284f307e	DUPLICATE	d95a755949837b47c5cdafca235bc854107fd90e	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	8	0	0	all 8 introduced (path,blob) pairs already present in published history; only the commit boundary differs	fix(web): address B7 read-only review findings — guard comments, tree drops, badge UX
8ae5da387af2d16ae0ab7d981ceda4af7cfc72f4	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	4	1	0	1 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/extstore-a8-multistore-wiring: 086ff6b feat: wrap EntStore with MultiStore at server startup
8af43ef55825250eb72de4476d284dd22e776d43	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	9	3	0	3 of 9 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (25/25) present in published main	fix: add missing updated_at field to LinkedAccount schema
8d23eba388fe49dfb1446301ce1ffffae0507e63	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-a8-multistore-wiring: 086ff6b feat: wrap EntStore with MultiStore at server startup
90d940d1f21790459cb2abdd9a25dc9d9617ffea	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/f45-beads-import: 3c7d487 Add Beads JSONL import format with auto-detection
90fcab88f848271c10e0e66db5cb2801cfb31b90	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-a2-proto-rpcs: 36ae463 feat: add LinkedAccount Ent schema for external credential storage (#85)
9190676074e213882eb6c6c87c8f077a329b908d	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on main: 36ae463 feat: add LinkedAccount Ent schema for external credential storage (#85)
9791b0470daecedfc6a365e7333fdabf88fa4a1c	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-a5-linkedaccount-rpcs: 24f51da feat: add LinkedAccount gRPC server RPC handlers
988cc5e0b9bdd6bd0426118dfeb5e9815319b6f7	DUPLICATE	224fc981685d0599bba56d403779e3a7df5e0846	patch-id --stable exact	ORDINARY	TREE_UNIQUE	1	4	0	0	patch-id identical to published commit 224fc981685d0599bba56d403779e3a7df5e0846	feat: add ft collection link/unlink/links CLI commands
9b175dc20fa8ba03e71ac8fe0105b066c047d45e	DUPLICATE	277ae614135abff79171b6bd023ddc34f0ddf971	patch-id --stable exact	ORDINARY	TREE_UNIQUE	1	2	1	0	patch-id identical to published commit 277ae614135abff79171b6bd023ddc34f0ddf971	feat(web): scrollable collection list landing page + new project button (F50)
9f5dec3f77e526d5ccc78dce6e589a479521876e	DUPLICATE	2b2908ee9cdca63d6fe92b4d8b877e4a960216a7	(path,blob) containment; earliest published carrier	ORDINARY	TREE_UNIQUE	1	6	0	0	all 6 introduced (path,blob) pairs already present in published history; only the commit boundary differs	feat: add poll-on-interval refresh for external collections
a0f80c471df0c027aa3249a8b0999b27bdd4545d	DUPLICATE	cb19a2f05cfca32b053d62c82f7e63b1d0759485	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_MATCHES_REFREACHABLE	2	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on fix/f47-ready-queue-alignment: aa0feb2 feat: write error toasts + type/label write-through for GitHub passthrough (#119)
a50b653a96250aa61c8476ef6a8e2c6ff9421b62	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	7	1	0	1 of 7 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on main: 36ae463 feat: add LinkedAccount Ent schema for external credential storage (#85)
a6c4219e688f83e4b5d52968b268af7386b73b08	UNIQUE		none	ORDINARY	TREE_UNIQUE	1	1	1	1	introduces 1 path(s) absent from all 295 published trees: WORKTREE_TEST.md	test: worktree independence verification
a6c5c0d928dc2f668a07e09622e6719c09241326	DUPLICATE	b4d2c2cb947193ecb40e2872b95258cd7c630ade	patch-id --stable exact	ORDINARY	TREE_UNIQUE	1	4	0	0	patch-id identical to published commit b4d2c2cb947193ecb40e2872b95258cd7c630ade	feat: route graph queries through ephemeral SQLite for external collections
a7dd7caa73c06b3999e2772e1802537757319b41	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	4	1	0	1 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on fix/passthrough-spinner: 4426fcc fix: address review feedback for passthrough spinner fix
a80a16c770fa8393d710aff411f7c68bd5699dff	SUPERSEDED_DRAFT		none	STASH_WIP	TREE_UNIQUE	2	2	2	0	2 of 2 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	WIP on feat/f35-inspector-title-constant: 21d4abb feat(inspector): move task title to constant position above tabs
abfc1edf32ac45e25697f8fe92f587860a24e104	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/f35-inspector-title-constant: 21d4abb feat(inspector): move task title to constant position above tabs
ac973539e89a13ac6eec9c709e5ef87793b0c7be	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-a5-linkedaccount-rpcs: faa6982 feat: add LinkedAccount store methods with tests (#93)
aee69b3a821b700954ff91349a3569f0e7669e1f	DUPLICATE	faa6982b656ca6d1c710a1c4e9bf1a17b63c04ec	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_UNIQUE	2	7	0	0	all 7 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on feat/extstore-a2-proto-rpcs: 36ae463 feat: add LinkedAccount Ent schema for external credential storage (#85)
aef3a15055cef1ae05048f2bda03ad845e143684	SUPERSEDED_DRAFT		none	ORDINARY	TREE_MATCHES_REFREACHABLE	1	4	3	0	3 of 4 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state	feat: add dashboard collection picker
b1124cf4fd8e67f05905df9c44b6ec8447888b08	UNIQUE		none	ORDINARY	TREE_UNIQUE	1	2	2	2	introduces 2 path(s) absent from all 295 published trees: .design/project-log/url-scheme-validation-r5-fix-round.md;internal/server/remotedata_depth_test.go	test(server): label the registry key an instance fix, and bound it by argument
b22949f428fd84282019f29f366b902c66a7a495	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-b3-lazy-registration: faa6982 feat: add LinkedAccount store methods with tests (#93)
b2f3f270be46d8f353dc4ca95e0c93ab815601e6	SUPERSEDED_DRAFT		none	ORDINARY	TREE_UNIQUE	1	3	3	0	3 of 3 introduced (path,blob) pairs unmatched, but every touched path IS published => pre-merge intermediate state; distinctive-identifier landing check 100% (10/10) present in published main	feat: add inspector comment submission
b313d970ba24277b78db38480a1b34c7842da044	DUPLICATE	ab2071e865f0faa90108e09c6b9128eb189ed39b	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_MATCHES_REFREACHABLE	2	2	0	0	all 2 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on fix/passthrough-spinner: 5a7b520 docs: add project log for passthrough spinner fix
b6ad1d422fc7a1d2f6beca75d96bb595740f7a09	DUPLICATE	34149dbe4746e9eb25b4d1bd6c01908fa7dc2389	(path,blob) containment; earliest published carrier	STASH_WIP	TREE_UNIQUE	2	1	0	0	all 1 introduced (path,blob) pairs already present in published history; only the commit boundary differs	WIP on feat/export-import-web-ui: d252f3d fix: address export/import web UI review findings
b8d7c5548fb952e7b2afe60d97c7ade797aa69ed	DUPLICATE	2a21cd9b7d87f27981a4e2b8a6f9d308c2051e2a	patch-id --stable exact	ORDINARY	TREE_UNIQUE	1	1	0	0	patch-id identical to published commit 2a21cd9b7d87f27981a4e2b8a6f9d308c2051e2a	test(auth): add IAP middleware token-reuse guard tests
b9c401544ac08bbad7f111c965b7a7ec995a6685	NO_CONTENT		none	STASH_INDEX	TREE_MATCHES_REFREACHABLE	1	0	0	0	introduces no blob (empty vs first parent)	index on feat/extstore-c3-graph-routing: 2f93830 feat: route graph queries through ephemeral SQLite for external collections
